latitude, longitude, name, train_line
57.3632608,12.135637,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
55.4826206,9.015585,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
55.9032617,12.5024541,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.8234887,12.5716336,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.8234911,12.5717014,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
56.0437749,12.6944415,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
55.8378147,13.3054176,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
56.0671879,14.4807541,n/a,"Train 90: Karlskrona => Malmö => København"
56.4618762,10.0213029,n/a,"InterCity 1: København => Aalborg"
56.3861131,9.8964132,n/a,"InterCity 1: København => Aalborg"
55.4644664,8.7069923,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
56.2652135,8.7880865,n/a,"InterCityLyn 3: Struer => Herning => København"
55.4679196,8.4587889,n/a,"InterCity 4: København Østerport => Esbjerg"
55.469593,8.801583,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
55.4847378,8.9144535,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
55.475807,9.1356911,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
54.9124303,9.7786647,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
54.9360962,9.2584673,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
55.5684023,9.7397694,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
55.7064962,9.5373086,n/a,"InterCity 1: København => Aalborg"
55.6523247,11.2921051,n/a,"Regionaltog 56: København => Kalundborg"
55.7188842,12.4435934,H,"S-tog H: Østerport => Ballerup"
55.6233075,12.3867887,A,"S-tog A: Solrød Strand => Hillerød"
55.7652357,12.4079924,B,"S-tog B: Høje Taastrup => Farum"
55.7652048,12.4079453,B,"S-tog B: Farum => Høje Taastrup"
55.7767926,12.5885299,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.8710487,12.3568179,A,"S-tog A: Hillerød => Solrød Strand"
